date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:35	31209/31209	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Mar%202023%2019:33:35%20GMT	https://ts7.x1.international.travian.com/logout	C:/Users/ward/Desktop/ts7.x1.international.travian.com/ts7.x1.international.travian.com/logout.html	(from )
22:33:36	23/23	---M--	200	added ('OK')	text/plain	etag:%226422fec4-17%22	https://ts7.x1.international.travian.com/robots.txt		(from )
22:33:36	578/578	---M--	200	added ('OK')	application/octet-stream	etag:%226422fec4-242%22	https://ts7.x1.international.travian.com/manifest.webmanifest	C:/Users/ward/Desktop/ts7.x1.international.travian.com/ts7.x1.international.travian.com/manifest.webmanifest	(from https://ts7.x1.international.travian.com/logout)
22:33:44	10115/10115	---M--	200	added ('OK')	image/png	etag:%22555b54b974727633ddb702f931624831%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/apple-touch-icon.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/apple-touch-icon.png	(from https://ts7.x1.international.travian.com/logout)
22:33:45	228/228	---M--	200	added ('OK')	text/css	etag:%2289d65ed15b18e252c1db3bb2f5b1b118%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed.css	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed.css	(from https://ts7.x1.international.travian.com/logout)
22:33:45	5533/5533	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e3d1598e7e395c5b90b4b49e34dc5e0%22	http://cdn.legends.travian.info/gpack/2022.5/js/jquery.md5.min.js	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/js/jquery.md5.min.js	(from https://ts7.x1.international.travian.com/logout)
22:33:47	33982/33982	---MCZ	200	added ('OK')	application/javascript	etag:W/%229e6b646c1bb5a8bb3988d8271387c642%22	http://cdn.legends.travian.info/gpack/2022.5/js/d3/d3pie.min.js	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/js/d3/d3pie.min.js	(from https://ts7.x1.international.travian.com/logout)
22:33:47	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://cdn.legends.travian.info/gpack/2022.5/js/jquery-3.5.1.min.js	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/js/jquery-3.5.1.min.js	(from https://ts7.x1.international.travian.com/logout)
22:33:49	13164/13164	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f906df1ba456ffe7891393a5116adacd%22	http://cdn.legends.travian.info/gpack/2022.5/js/gsap/plugins/MorphSVGPlugin.min.js	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/js/gsap/plugins/MorphSVGPlugin.min.js	(from https://ts7.x1.international.travian.com/logout)
22:33:53	59029/59029	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a16e83ad3750be4666c5552dabcc362%22	http://cdn.legends.travian.info/gpack/2022.5/js/simplebar.min.js	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/js/simplebar.min.js	(from https://ts7.x1.international.travian.com/logout)
